model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,MAPE_mean,MAPE_std
LSTM (SOH),0.012618315757657267,0.0010752866104671232,0.009574948152645528,0.0008047876789340082,0.9857395314856309,0.0023810704137005208,1.3546565320803843,0.1418430267603674
RF (SOH),0.02186627345680665,7.595903458064943e-05,0.009951137331492317,5.500623641493898e-05,0.9597270032020845,0.00028003335878896464,1.6255647148455574,0.008305402448048615
SINDy-1 (SOH),0.007664038546635559,0.0,0.005165395494069728,0.0,0.9950526086610473,0.0,0.7532481516570835,0.0
SINDy-2 (SOH),0.03217458820884537,0.0,0.025128566392401342,0.0,0.912805940393438,0.0,3.6558165502089373,0.0
SR-1 (SOH),0.0024163953669888603,0.002284774809645318,0.002290693631165496,0.0022813211375619,0.9992150631019077,0.0010666278256042728,0.32077019590973616,0.3126299270001172
SR-2 (SOH),0.06998926021675451,0.0034372945690451235,0.06138446656251414,0.0006015405339495255,0.5867417960718352,0.0399571545360065,8.617291683719762,0.05182326561369781
